dbname,seqno,query,exec_time,perf_dev,dev_pcnt,perf_stts,rss,avgrss,vsz,memory,llc_hit,llc_hitm,llc_miss,llc_lookup_stat,llc_hitm_stat,llc_hit_stat,llc_miss_stat
"SF-10",0,"q01",4.12,0.00,0.00%,0,2897184,883125,5233828,100,27808,2569,3447,6065866,185961,198992,198992
"SF-10",0,"q02",6.21,0.00,0.00%,0,665912,456113,3078912,100,21818,1915,2766,3310055,202844,99152,99152
"SF-10",0,"q03",3.73,0.00,0.00%,0,2266336,1808030,6092164,100,24517,2111,3099,2564764,140017,83450,83450
"SF-10",0,"q04",2.59,0.00,0.00%,0,1683936,1116680,4195920,100,21787,2214,2830,2907763,126899,77736,77736
"SF-10",0,"q05",7.43,0.00,0.00%,0,2433664,604770,5178660,100,23795,2101,2659,3209024,111017,100773,100773
"SF-10",0,"q06",2.52,0.00,0.00%,0,560632,418254,4530764,100,23595,2474,2964,2750226,120105,206356,206356
"SF-10",0,"q07",8.30,0.00,0.00%,0,2941460,1607756,5591032,100,23913,1974,3229,5402415,84682,212520,212520
"SF-10",0,"q08",7.78,0.00,0.00%,0,2373068,1290030,6428408,100,22427,1697,2402,3412260,134381,107175,107175
"SF-10",0,"q09",5.26,0.00,0.00%,0,2081896,581365,6273992,100,14570,1439,2595,3258533,186432,885596,885596
"SF-10",0,"q10",4.82,0.00,0.00%,0,2226392,1331390,5633236,100,8629,590,1641,2135666,158563,259389,259389
"SF-10",0,"q11",4.25,0.00,0.00%,0,584412,466110,2993352,100,17111,1603,2600,2830542,71857,132226,132226
"SF-10",0,"q12",4.23,0.00,0.00%,0,509672,386686,4076772,100,8900,673,1159,1901963,148805,78421,78421
"SF-10",0,"q13",2.98,0.00,0.00%,0,2114808,1916530,4327324,100,11322,791,1549,7316106,94904,108296,108296
"SF-10",0,"q14",4.62,0.00,0.00%,0,1138220,597345,4457852,100,16409,1760,2264,2346317,127544,154721,154721
"SF-10",0,"q15",3.75,0.00,0.00%,0,1956604,841556,5140160,100,28375,1840,3217,2071198,86555,207516,207516
"SF-10",0,"q16",3.48,0.00,0.00%,0,736620,609721,2953064,100,19897,968,2728,4718298,171212,135087,135087
"SF-10",0,"q17",3.16,0.00,0.00%,0,1134860,501044,4002256,100,18773,1171,2011,2167632,94747,81818,81818
"SF-10",0,"q18",3.38,0.00,0.00%,0,2212572,1572240,5607708,100,35321,2936,4659,2404732,212631,55436,55436
"SF-10",0,"q19",4.04,0.00,0.00%,0,1457024,1216010,4679356,100,24987,1980,3333,3166739,127149,130275,130275
"SF-10",0,"q20",5.34,0.00,0.00%,0,1829156,1293340,4473516,100,16539,1011,4744,2844132,134391,123085,123085
"SF-10",0,"q21",4.42,0.00,0.00%,0,4036656,2959260,5108112,100,22715,1181,3003,5196760,430150,157861,157861
"SF-10",0,"q22",4.42,0.00,0.00%,0,606704,430701,2978612,100,21463,911,1793,3456524,98627,76893,76893
